,lh_SFG_L_6_1_thickness,lh_SFG_L_6_2_thickness,lh_SFG_L_6_3_thickness,lh_SFG_L_6_4_thickness,lh_SFG_L_6_5_thickness,lh_SFG_L_6_6_thickness,lh_MFG_L_7_1_thickness,lh_MFG_L_7_2_thickness,lh_MFG_L_7_3_thickness,lh_MFG_L_7_4_thickness,lh_MFG_L_7_5_thickness,lh_MFG_L_7_6_thickness,lh_MFG_L_7_7_thickness,lh_IFG_L_6_1_thickness,lh_IFG_L_6_2_thickness,lh_IFG_L_6_3_thickness,lh_IFG_L_6_4_thickness,lh_IFG_L_6_5_thickness,lh_IFG_L_6_6_thickness,lh_OrG_L_6_1_thickness,lh_OrG_L_6_2_thickness,lh_OrG_L_6_3_thickness,lh_OrG_L_6_4_thickness,lh_OrG_L_6_5_thickness,lh_OrG_L_6_6_thickness,lh_PrG_L_6_1_thickness,lh_PrG_L_6_2_thickness,lh_PrG_L_6_3_thickness,lh_PrG_L_6_4_thickness,lh_PrG_L_6_5_thickness,lh_PrG_L_6_6_thickness,lh_PCL_L_2_1_thickness,lh_PCL_L_2_2_thickness,lh_STG_L_6_1_thickness,lh_STG_L_6_2_thickness,lh_STG_L_6_3_thickness,lh_STG_L_6_4_thickness,lh_STG_L_6_5_thickness,lh_STG_L_6_6_thickness,lh_MTG_L_4_1_thickness,lh_MTG_L_4_2_thickness,lh_MTG_L_4_3_thickness,lh_MTG_L_4_4_thickness,lh_ITG_L_5_1_thickness,lh_ITG_L_5_2_thickness,lh_ITG_L_5_3_thickness,lh_ITG_L_5_4_thickness,lh_ITG_L_5_5_thickness,lh_FuG_L_3_1_thickness,lh_FuG_L_3_2_thickness,lh_FuG_L_3_3_thickness,lh_PhG_L_6_1_thickness,lh_PhG_L_6_2_thickness,lh_PhG_L_6_3_thickness,lh_PhG_L_6_4_thickness,lh_PhG_L_6_5_thickness,lh_PhG_L_6_6_thickness,lh_pSTS_L_2_1_thickness,lh_pSTS_L_2_2_thickness,lh_SPL_L_4_1_thickness,lh_SPL_L_4_2_thickness,lh_SPL_L_4_3_thickness,lh_SPL_L_4_4_thickness,lh_IPL_L_6_1_thickness,lh_IPL_L_6_2_thickness,lh_IPL_L_6_3_thickness,lh_IPL_L_6_4_thickness,lh_IPL_L_6_5_thickness,lh_IPL_L_6_6_thickness,lh_PCun_L_4_1_thickness,lh_PCun_L_4_2_thickness,lh_PCun_L_4_3_thickness,lh_PCun_L_4_4_thickness,lh_PoG_L_4_1_thickness,lh_PoG_L_4_2_thickness,lh_PoG_L_4_3_thickness,lh_PoG_L_4_4_thickness,lh_INS_L_6_1_thickness,lh_INS_L_6_2_thickness,lh_INS_L_6_3_thickness,lh_CG_L_5_1_thickness,lh_CG_L_5_2_thickness,lh_CG_L_5_3_thickness,lh_CG_L_5_4_thickness,lh_CG_L_5_5_thickness,lh_MVOcC_L_5_1_thickness,lh_MVOcC_L_5_2_thickness,lh_MVOcC_L_5_3_thickness,lh_MVOcC_L_5_4_thickness,lh_MVOcC_L_5_5_thickness,lh_LOcC_L_4_1_thickness,lh_LOcC_L_4_2_thickness,lh_LOcC_L_4_3_thickness,lh_LOcC_L_4_4_thickness,lh_MeanThickness_thickness
lh_SFG_L_6_1_thickness,1.0,0.526479989084887,0.6606044073181591,0.6509928504106387,0.9885584000257117,0.13964845633396522,0.07130736847665553,0.6584390317925897,0.010392932344539231,0.06725539787067397,0.8367935626170957,0.9466243120313942,0.14949942616710804,0.7447660414075787,0.46861452061898085,0.9941873047222396,0.5083171528606197,0.5827699354356912,0.6352524576838002,0.23581755237378224,0.3410267472765047,0.6876494030419231,0.34334523368535563,0.6642637352660599,0.5996005940722791,0.08772443968258918,0.6604961936110773,0.188489358922906,0.007459793481562941,0.6586385991768973,0.9877211253075233,0.8984324785524063,0.8732535558012673,0.2061731582485816,0.005491642678345017,0.8537908714270077,0.4962796875862251,0.5260796971038022,0.8017442980132695,0.34933475148591114,0.41373410003204264,0.5380202542803943,0.8248874570890061,0.6976116902247853,0.8294448105344665,0.4250230813919087,0.4050561445421909,0.9462454176089149,0.9890914727347635,0.715336264993237,0.7646289514048517,0.45427945283257987,0.6206280096346288,0.5622082336447365,0.7027429109775769,0.8650780853365063,0.15352075495504652,0.10952197267654049,0.09227316721168839,0.6084635779605991,0.8079012600731779,0.6530234492571727,0.47660179495613125,0.8012694763517821,0.31096947074567943,0.7432125125236503,0.5508611537442623,0.9468336666854669,0.45895408669448534,0.6129934913684972,0.8441153274250056,0.8768187218541791,0.5215761005600806,0.38591199209727384,0.2461699130399379,0.040915063032962086,0.6293241083168124,0.14529804333312676,0.6027142173754529,0.9660000728252522,0.9747543442834091,0.8394448107324479,0.8855814924653934,0.8998829427430943,0.8450009131335641,0.25120825657778884,0.9416412731288035,0.43061248819026543,0.575999358990871,0.7791894832487251,0.5210739973966332,0.535296738913586,0.3425972058081068,0.4715201902313515,0.4652946090700446
lh_SFG_L_6_2_thickness,0.526479989084887,1.0,0.8923537726637631,0.8061001673866519,0.5725212551091199,0.6202066919970928,0.4702171896808457,0.8564639920249582,0.03397451143779531,0.5446850728371756,0.7633986481932578,0.6063325992275244,0.5972388922279036,0.4612799640344419,0.3469806156263563,0.4865870032547683,0.14421277184538245,0.8714505608080252,0.2108799149408728,0.010372549298848982,0.41138814359035203,0.2148586507554206,0.29703816696526636,0.1962495444748354,0.5927665820256899,0.5011554968689653,0.9060277166307862,0.2674416618871689,0.3096153895591273,0.5142005135526209,0.5468844650634745,0.5558564039714656,0.5763030507857285,0.03128152270300639,0.24012345600713578,0.3071723377971806,0.8044384387820149,0.20651285613404732,0.36050350466278536,0.5259026121587845,0.8388667626578765,0.6304150832357835,0.7750832387509836,0.7524961277823499,0.5105656606184261,0.8294253741845965,0.702316067633276,0.4889450872677222,0.5773298182521527,0.8825790246295501,0.23614537292564686,0.48968217645814,0.5723596150609338,0.15884196328037858,0.49200493228749176,0.5240049943979688,0.5301449114567651,0.23934897374705158,0.2980289921922133,0.847518821409051,0.7057330054896602,0.23594546771511343,0.701932466684785,0.39070194593025803,0.03691983860741508,0.49555231748027934,0.6164816429363048,0.6436021710575504,0.9840110992939733,0.9667763807649703,0.5154051249834367,0.5351469332265997,0.0968069809558563,0.570549324524281,0.6950818559062961,0.4787742943475788,0.8679905788860409,0.009696094965069612,0.32343762410928856,0.4194385738056338,0.43710313921750854,0.3390894509084684,0.5498472679577934,0.5687156013833625,0.3700336655311467,0.09646795362636927,0.4964952325779598,0.21802788756429495,0.9157999119424305,0.4159457394063212,0.4404853933619515,0.061070723982610924,0.548111147081575,0.3745969017254568,0.48885110532615017
lh_SFG_L_6_3_thickness,0.6606044073181591,0.8923537726637631,1.0,0.82895467382135,0.7237004555282693,0.5550221698238467,0.3010720026173441,0.9940658298725762,0.04130773324463129,0.39412802509497746,0.9371542745375516,0.7791432569051677,0.5616640879162452,0.5605455405995541,0.39772228628596906,0.6117147694535311,0.26031926220784873,0.9828597966641892,0.21908908449681722,0.024761864029043797,0.527496397071549,0.23648474768326594,0.4812381588133411,0.3642678089693169,0.689962767868121,0.4142218223866095,0.9126538753769953,0.1270658527389543,0.12562424921108217,0.6608113591935108,0.6740847497428765,0.7055459542759916,0.7499521295895142,0.03193001220500064,0.08911090512997985,0.44714790139856975,0.6040796422269217,0.19614859927259876,0.5334780305014823,0.3138434002616385,0.8946333151019028,0.67765625746096,0.9410016269817327,0.8304865320378735,0.6034173170008117,0.899521603483294,0.548521099281338,0.6517542101364711,0.7348573931395421,0.9702684397290479,0.27978448237399345,0.4983445465497871,0.6866691768727642,0.34013616865628515,0.5374158363029901,0.63036755440957,0.40833135592300973,0.24807531376055758,0.12298107880533413,0.8083463731853289,0.9127463218471454,0.41671107475975383,0.6477848439414102,0.5662180540094509,0.04861155182457544,0.5522020496853356,0.679073381446082,0.8281305968197326,0.8768855948341521,0.9258860803297733,0.6175539865778706,0.6681420092497825,0.1249332612334535,0.7395662318231488,0.712906030950339,0.3065126675546136,0.9929061152420846,0.013348437005938778,0.5077205208053276,0.5324644484196512,0.5551509309888516,0.4991835038595679,0.7005333342856637,0.7310335449352383,0.39854864906114934,0.08353858821580354,0.6619598705839493,0.19690388148898658,0.7941756058885903,0.5930080499271382,0.5828776974461599,0.14213787835540195,0.5544803740327684,0.5345307381947473,0.7016601491914917
lh_SFG_L_6_4_thickness,0.6509928504106387,0.8061001673866519,0.82895467382135,1.0,0.6318834598514624,0.4812339638826408,0.2116068728928765,0.7813083119188551,0.0038922669680026465,0.38834981384533857,0.845160172938243,0.5961969463086134,0.4944789529436226,0.28346095404199767,0.14299449879784418,0.6597968145821509,0.11495305806732428,0.7520058559093372,0.4560639486009601,0.06802829501150336,0.6438416608364987,0.46824565227816006,0.4281953360447162,0.5081449654518562,0.9248677276819384,0.45563974998809786,0.9715945068939125,0.36047532923843284,0.16690256321560537,0.877121605358986,0.5877355321303589,0.46145036760178354,0.8669678066226988,0.1502736582768072,0.11085318223834383,0.6413693798597009,0.6060520406413468,0.44088424036865387,0.7261395890170941,0.6103551658073083,0.657649990598028,0.9309568222905817,0.8652986463922454,0.9911840182179674,0.3657240749627988,0.6583032616813096,0.8516660102045926,0.7627340563182623,0.6599803365458601,0.92589872449032,0.5015901596199039,0.30344756197096306,0.9151242121196708,0.4033981999038886,0.31678558900419546,0.39850082096919665,0.5796376448541357,0.06256293251549246,0.2884859081710448,0.9906422233857187,0.6659121927641987,0.5664555035166086,0.9279064249813265,0.758078517501996,0.1697157341039222,0.32726630260996487,0.9275167748938553,0.7331935339833926,0.7218803896643698,0.9194008023668916,0.37683947745512275,0.4181802150248194,0.31522671486190906,0.5284820177520375,0.5503347622202673,0.3616411829841319,0.7752199508464368,0.06644507000327711,0.6736327204597781,0.6526440215675096,0.6603904852826064,0.6903142559223733,0.44588414398007764,0.48396645007901384,0.5452383580548523,0.29866917317033687,0.7723929541100363,0.4445319826673193,0.9386879399617323,0.7871254479362605,0.7807452573877436,0.23578806379773884,0.780244018695,0.6845227037966118,0.47120096314420234
lh_SFG_L_6_5_thickness,0.9885584000257117,0.5725212551091199,0.7237004555282693,0.6318834598514624,1.0,0.17857057209176017,0.10319191732880609,0.7299756948814118,0.017797932177576036,0.08853164081413256,0.8724183673323503,0.983687291795015,0.1869977413662368,0.7859785602024079,0.5034990302757888,0.9672052909683773,0.5165288054211915,0.6602621405308277,0.5513735158474905,0.20434082804788212,0.33450237906500485,0.6039256919728675,0.36850770475891426,0.6242077325052745,0.5622053713773809,0.10145241718795223,0.6698475238981143,0.1403957555100874,0.009648235248387694,0.6213416299165129,0.9924925530425024,0.9422299392205535,0.851557863409953,0.1637251464239552,0.008403256450568629,0.7950271079232367,0.509784279929452,0.4459329144697374,0.7544489452907128,0.29075364951085675,0.4935465000023376,0.49872304581001825,0.8577687784122725,0.6787865194446259,0.8623137365550833,0.5054870571789297,0.35511219698201474,0.9147983231706681,0.9984285195319069,0.7476466206539756,0.6836845700181438,0.49421898546338455,0.5835780680524556,0.5443036757777512,0.7300823096612077,0.8985069219891958,0.13798167917699192,0.15223989262255028,0.06493421193836726,0.5878999917704264,0.8754900185482732,0.6166511617089805,0.43280702802101323,0.75637821301252,0.26057240792970593,0.7710090261954056,0.5121423552405282,0.9706398085742727,0.5212697448661381,0.6395231634016482,0.8787979809180481,0.9184145849968937,0.44964031783823494,0.4519977474433124,0.30653974559027863,0.04888475054976657,0.7029262707454911,0.11893259949010351,0.5716656061893718,0.9192799171804988,0.9326459648702012,0.787208080367672,0.9316616893458596,0.9471345907918172,0.781336637994975,0.19270511214922695,0.9114131434782726,0.3596435843891585,0.5649650326903255,0.7368283091156569,0.49087173865999234,0.48946799770471144,0.3129949563857943,0.45204129459511944,0.5300663095116898
lh_SFG_L_6_6_thickness,0.13964845633396522,0.6202066919970928,0.5550221698238467,0.4812339638826408,0.17857057209176017,1.0,0.7988355836995906,0.5578406831856468,0.4076163755470754,0.939424040934185,0.3803564628787309,0.23847192598672395,0.995591785573668,0.28454236555225426,0.3655940420398754,0.11935010515373072,0.5396698686587265,0.6272784673210361,0.013031421629686301,0.0032392046165416687,0.39792093278591956,0.017899077541563696,0.5871786929069679,0.13186843050985275,0.4053386364142882,0.635824355158442,0.5208729872455912,0.16142206133521286,0.4144822760181749,0.33816934096947515,0.15006151513401383,0.2455959622933072,0.26375993715873175,0.001144623404214478,0.4697168040860351,0.10896521205841128,0.37400055829434425,0.007676583721380643,0.18012784704672036,0.30309937193000763,0.7823741084709146,0.44878415984414866,0.3910826310799379,0.4379973414843719,0.21155744077198524,0.7742301558617273,0.49775791617327,0.1715628009996271,0.18423960150055374,0.4951269701279742,0.02875164598517787,0.16855542098113438,0.38585861864969334,0.1454788651260377,0.18956438873969758,0.20945141006195828,0.4967887439804245,0.47690828084036657,0.2421532391562843,0.5118643554493414,0.40660524073144666,0.16772450838894185,0.4985404387385326,0.1993423821740788,0.003884835444064632,0.193842660448948,0.43709284707474216,0.2554689047400139,0.676711977654609,0.5676024908152717,0.21717521969803105,0.23977422538192456,0.012293601459046222,0.8340567843564128,0.9466125228039517,0.5976286339579349,0.5846668206496176,0.0008754588399338161,0.24879679383332004,0.09522641922322903,0.10261687862748872,0.14413938639187385,0.25634088688498546,0.2599314913492773,0.0383883663765679,0.0012811956882773023,0.1792533112034,0.0064308169000706515,0.5358512379369051,0.2258611162588502,0.3535636968192644,0.03361237992401377,0.47465238232050755,0.3315287223719501,0.7553346541611112
lh_MFG_L_7_1_thickness,0.07130736847665553,0.4702171896808457,0.3010720026173441,0.2116068728928765,0.10319191732880609,0.7988355836995906,1.0,0.31198708721544643,0.38169620636489854,0.8393127075306668,0.16391528342028155,0.15319633713593928,0.7614811292751775,0.28890294965346053,0.39067829287665923,0.05355328943952892,0.4957506836743502,0.37767355600059693,0.007511743492795745,0.00010442405905293836,0.12189128905184414,0.007750165230816482,0.31532732046062534,0.016443699821731876,0.13098925187676694,0.41912113278819196,0.26316604407561156,0.4420429496027045,0.6076831249340113,0.0884037562046075,0.0991052285967986,0.2029674737408258,0.07187120568508386,0.00023209298778458743,0.7048244654442721,0.01870975755904919,0.5955317492531677,0.007305487479285697,0.031835414011487685,0.5072093803289748,0.5424081683564357,0.17088154076806522,0.16532958340639714,0.16502673774996335,0.21067172410104248,0.5305192499667553,0.36123834690042306,0.047345499898559545,0.09756235452241917,0.23231674378824024,0.009412454085431374,0.19628803053959587,0.11695429226911412,0.01828297201620487,0.20922162916710196,0.1989079323574892,0.33698197103116306,0.6114419353807946,0.4903741028749534,0.26616491424587513,0.2385741755610029,0.024053777330501597,0.25782695271747885,0.03746910095744603,0.0003535541680065581,0.20944557870257746,0.15846226175103525,0.11856771366704372,0.5456505247146367,0.34044020104056766,0.21114636020334546,0.21342128326491402,0.0017821486166002785,0.5830688687003358,0.707948976781007,0.5244350374187912,0.3358478108384898,4.477679956922412e-05,0.04706946379551752,0.03455029638267413,0.038457368331914404,0.02490749856021105,0.21543930817057982,0.2049592872208293,0.029086416786753208,0.0016108672259078198,0.04907736192858876,0.008316242299563799,0.36383430934666444,0.04485749711816837,0.0936892972616244,0.0021966260484790412,0.2068350675603917,0.08098980439309136,0.5422341276135452
lh_MFG_L_7_2_thickness,0.6584390317925897,0.8564639920249582,0.9940658298725762,0.7813083119188551,0.7299756948814118,0.5578406831856468,0.31198708721544643,1.0,0.05364550165374389,0.38324098351285074,0.9319937552836619,0.7982646043196634,0.5649276268887798,0.6004268487118868,0.4386270094625457,0.6053866216838903,0.3091704599346745,0.9912155583236382,0.19846357592284283,0.02804361675632678,0.520981613501256,0.218908434269237,0.5009905002214295,0.37855657072500815,0.6599221219916102,0.3896548235042255,0.867870292324566,0.10111104335746834,0.10800973378692968,0.6424760123458132,0.6785478325617943,0.7363772764979649,0.7362052020200034,0.027777683186917493,0.08016154550431225,0.4452796414052629,0.5625294072459275,0.1707156985922198,0.5317211100501056,0.264352909692383,0.9102535749948466,0.6398757265660212,0.9322032669978622,0.7914431112750092,0.6292032615271111,0.9170862176902854,0.4904229573016956,0.6442803889673416,0.739382208495984,0.9443885823422533,0.2656911596106295,0.5025136004415588,0.6600361899231009,0.36273375374319194,0.5538665566314078,0.6558571371386671,0.3741564248549997,0.2832103341624906,0.1001960108728862,0.7530318238309315,0.9392583539324804,0.42905284781798153,0.5961842222019074,0.5622653835482865,0.047157548530889326,0.5711336082804693,0.6438006810005292,0.833140707872207,0.8553920341096336,0.8826177033566609,0.6448510025020759,0.6997305142922012,0.12034092923472388,0.7805030077890098,0.7303441025587838,0.27859339345952344,0.9986717697603362,0.013276956970415109,0.512321997751803,0.5230547286745422,0.546365856968171,0.49762942544977506,0.7340282573165298,0.7628981585661517,0.37624675125825474,0.06694103272707037,0.6542430644811581,0.16723517821577324,0.7334184559686574,0.587001024563595,0.5719777906568322,0.15529097046486967,0.5233673326414043,0.5333606794592245,0.7542524122781917
lh_MFG_L_7_3_thickness,0.010392932344539231,0.03397451143779531,0.04130773324463129,0.0038922669680026465,0.017797932177576036,0.4076163755470754,0.38169620636489854,0.05364550165374389,1.0,0.48410070073303035,0.01934911766922751,0.03200536948161831,0.42855005661653145,0.0988930179247842,0.174602246813951,0.006810831115137771,0.4221503150660109,0.07176603280628822,0.0006232701071604287,6.625664395889725e-07,1.5646234467758406e-05,0.0006229186689813801,0.4528242256962703,6.569085282516914e-05,0.0007146162061303389,0.31102257054290067,0.010413243552655807,0.01535081467622454,0.30740859040799146,0.0006243613987977468,0.017797924546662822,0.05340906303270156,0.0035780433252523953,8.54525053042955e-06,0.45002177202824084,0.0007397362264746905,0.022360511845477403,0.0006229186396037068,0.0006229967747388279,0.004339819784595026,0.13883556360561983,0.0006335534747761121,0.01779899508456457,0.003583913505520494,0.05883690058735978,0.13883211642871676,0.0008082263407441707,0.0035777883770794112,0.01577627094564836,0.017804478369243867,0.000736983582267966,0.053409058383987164,0.0007132970782583527,8.584332289578577e-06,0.05883690026846576,0.05340905908813162,0.0001554606079763016,0.44991978736710314,0.006566339191724251,0.004168349198335879,0.05340933704888863,7.8134017875907e-05,0.0007807391523438906,0.0007370993403985083,1.0602597976766258e-05,0.058836900291118495,0.0006219760801433388,0.0177980074627376,0.058983815611306015,0.017840473446062675,0.05883690078122407,0.058836902359516274,7.806883252294992e-05,0.29098096387002437,0.2910102615150178,0.3082310570472636,0.058841873462944116,8.554886845238632e-07,0.00010121611072098788,0.0035777487071768734,0.004133383971619447,0.000737015932566259,0.058836904723782044,0.05340906639694717,0.0035777447945576275,9.669039103431205e-05,0.003596340544636456,0.0007397244631604481,0.007003325491769441,0.0007371802462387766,0.0001373452897432986,1.0108578528189968e-05,0.00010022825252673164,4.4637821505900876e-05,0.2923800209303977
lh_MFG_L_7_4_thickness,0.06725539787067397,0.5446850728371756,0.39412802509497746,0.38834981384533857,0.08853164081413256,0.939424040934185,0.8393127075306668,0.38324098351285074,0.48410070073303035,1.0,0.24152999361678082,0.12373669802453202,0.9349692237456775,0.16502937157060613,0.2473003179436308,0.05689010342738088,0.4929703300469536,0.446150307011744,0.004452102544590294,0.0011028455053919298,0.3037305055014205,0.006548994899025855,0.6051682176382027,0.07364679747666524,0.30739032471091476,0.7108500693656912,0.4200290917730027,0.24786806509303658,0.6068145344558127,0.23792053304536145,0.07109613672275486,0.12831780824396813,0.16361997256805483,0.0003342592350594627,0.6786578807015665,0.05690587995557788,0.42547536749931264,0.002341583634625934,0.10562439971782663,0.3940466828263965,0.5968983986757086,0.3611943637948354,0.2532482569105111,0.33290929057648616,0.11087535119845462,0.5844419082047637,0.4960831158669752,0.09401125786539484,0.09294027175395694,0.36246522624118616,0.011478493018185449,0.08902343415977455,0.28592366901083227,0.0831922482226835,0.10049823317930592,0.10795937701510244,0.48951424482344275,0.4022736705924216,0.3387271677040347,0.43924163753657336,0.24178094006383002,0.09847899310184094,0.4439158193137882,0.11951304801297558,0.0013209234175709712,0.10237367280535041,0.3459785812927044,0.14112282058366177,0.5863423257343631,0.4741279589090417,0.11375753836318389,0.12603774381206742,0.004670778458212557,0.6442186431923006,0.793577481228555,0.7301988560812698,0.4083634779925566,0.00026071520660630597,0.16077785743596937,0.04487435130538466,0.04878221925526392,0.08000470866054891,0.1356334314064565,0.13699595808863,0.014570939308068876,0.0003156571934458381,0.09936981098258359,0.0019109662501535058,0.4961686180843543,0.1398945382191445,0.25561469220189253,0.015047023926788269,0.40482561846056947,0.2346438148054932,0.5686264027166889
