,rh_SFG_R_6_1_thickness,rh_SFG_R_6_2_thickness,rh_SFG_R_6_3_thickness,rh_SFG_R_6_4_thickness,rh_SFG_R_6_5_thickness,rh_SFG_R_6_6_thickness,rh_MFG_R_7_1_thickness,rh_MFG_R_7_2_thickness,rh_MFG_R_7_3_thickness,rh_MFG_R_7_4_thickness,rh_MFG_R_7_5_thickness,rh_MFG_R_7_6_thickness,rh_MFG_R_7_7_thickness,rh_IFG_R_6_1_thickness,rh_IFG_R_6_2_thickness,rh_IFG_R_6_3_thickness,rh_IFG_R_6_4_thickness,rh_IFG_R_6_5_thickness,rh_IFG_R_6_6_thickness,rh_OrG_R_6_1_thickness,rh_OrG_R_6_2_thickness,rh_OrG_R_6_3_thickness,rh_OrG_R_6_4_thickness,rh_OrG_R_6_5_thickness,rh_OrG_R_6_6_thickness,rh_PrG_R_6_1_thickness,rh_PrG_R_6_2_thickness,rh_PrG_R_6_3_thickness,rh_PrG_R_6_4_thickness,rh_PrG_R_6_5_thickness,rh_PrG_R_6_6_thickness,rh_PCL_R_2_1_thickness,rh_PCL_R_2_2_thickness,rh_STG_R_6_1_thickness,rh_STG_R_6_2_thickness,rh_STG_R_6_3_thickness,rh_STG_R_6_4_thickness,rh_STG_R_6_5_thickness,rh_STG_R_6_6_thickness,rh_MTG_R_4_1_thickness,rh_MTG_R_4_2_thickness,rh_MTG_R_4_3_thickness,rh_MTG_R_4_4_thickness,rh_ITG_R_5_1_thickness,rh_ITG_R_5_2_thickness,rh_ITG_R_5_3_thickness,rh_ITG_R_5_4_thickness,rh_ITG_R_5_5_thickness,rh_FuG_R_3_1_thickness,rh_FuG_R_3_2_thickness,rh_FuG_R_3_3_thickness,rh_PhG_R_6_1_thickness,rh_PhG_R_6_2_thickness,rh_PhG_R_6_3_thickness,rh_PhG_R_6_4_thickness,rh_PhG_R_6_5_thickness,rh_PhG_R_6_6_thickness,rh_pSTS_R_2_1_thickness,rh_pSTS_R_2_2_thickness,rh_SPL_R_4_1_thickness,rh_SPL_R_4_2_thickness,rh_SPL_R_4_3_thickness,rh_SPL_R_4_4_thickness,rh_IPL_R_6_1_thickness,rh_IPL_R_6_2_thickness,rh_IPL_R_6_3_thickness,rh_IPL_R_6_4_thickness,rh_IPL_R_6_5_thickness,rh_IPL_R_6_6_thickness,rh_PCun_R_4_1_thickness,rh_PCun_R_4_2_thickness,rh_PCun_R_4_3_thickness,rh_PCun_R_4_4_thickness,rh_PoG_R_4_1_thickness,rh_PoG_R_4_2_thickness,rh_PoG_R_4_3_thickness,rh_PoG_R_4_4_thickness,rh_INS_R_6_1_thickness,rh_INS_R_6_2_thickness,rh_INS_R_6_3_thickness,rh_CG_R_5_1_thickness,rh_CG_R_5_2_thickness,rh_CG_R_5_3_thickness,rh_CG_R_5_4_thickness,rh_CG_R_5_5_thickness,rh_MVOcC_R_5_1_thickness,rh_MVOcC_R_5_2_thickness,rh_MVOcC_R_5_3_thickness,rh_MVOcC_R_5_4_thickness,rh_MVOcC_R_5_5_thickness,rh_LOcC_R_4_1_thickness,rh_LOcC_R_4_2_thickness,rh_LOcC_R_4_3_thickness,rh_LOcC_R_4_4_thickness,rh_MeanThickness_thickness
rh_SFG_R_6_1_thickness,1.0,0.7422928162832034,0.6548858845077109,0.9659623606999878,0.8333568579643424,0.05847008849845248,0.10012307720969635,0.594314537273248,0.011096910791177172,0.022468305711466366,0.8568195294722838,0.7558842805150239,0.04730841394051094,0.4444004583301735,0.2743696753361691,0.9648036575652732,0.050300236683443904,0.5406619749167276,0.7653136495954984,0.4226623219223393,0.1258336976504823,0.8160787705014199,0.0028042129446693483,0.4691644876651063,0.8515501358852127,0.0005871718220010269,0.8501212335175089,0.28208975232881955,0.00038995802247485665,0.7981069661068196,0.8247761796409642,0.633233958734768,0.9580773442384862,0.2830299164467446,0.0023191880259971543,0.8040114877662934,0.8919229310474082,0.8365510698296099,0.8386134287477178,0.8404538451013472,0.29532876371985467,0.8365510698296099,0.8502915989875587,0.9639227946841792,0.5443892424162997,0.28768813331528403,0.8295126296834956,0.9679819896874379,0.8115049053456603,0.8092040090927222,0.822324875973305,0.634890273264483,0.8505625229631515,0.2229833854380161,0.5570148514160104,0.6415542526488862,0.19413578474115006,0.13871505690946034,0.12020452493594116,0.9708817038336601,0.530927690407246,0.686335173942424,0.8490062362170143,0.8438199595290456,0.2436634030173555,0.5838116007838027,0.7899718166839125,0.8350650739864718,0.5963241116850793,0.7813594819659508,0.6239581245666227,0.6390646639191244,0.6823964208366478,0.11967446727289528,0.13287079126781218,0.0005027094483238141,0.5776884094826504,0.09880350604889497,0.617220520944113,0.9359934627027244,0.9452984507387518,0.8323490331911454,0.5471480700867914,0.6382146840503082,0.9622269744517282,0.6697359725598742,0.9268642920648403,0.7778698620839954,0.682176135893803,0.710178692929994,0.6372193393491299,0.5872406684604042,0.5519867563446686,0.5602796665812777,0.4799376427582313
rh_SFG_R_6_2_thickness,0.7422928162832034,1.0,0.9850747281808407,0.7072938755560665,0.9762198646201721,0.21507024263903327,0.3750787471371876,0.9614386697979882,0.05132022744158806,0.09471610849984491,0.9705674434698809,0.9996498388039455,0.17715930684326536,0.8592824568182287,0.6581206210294013,0.8108388311801392,0.18625811928580688,0.9335505103549315,0.3419377420234453,0.4781008344146536,0.2552474860889979,0.40422045305146415,0.014380788203439665,0.14010000957224206,0.51982649673757,0.008079917612913434,0.9403458452130723,0.45455230154100223,0.002114998694765862,0.37720627054661715,0.9783793903508934,0.979540341425947,0.7116877181025633,0.05973232123003256,0.011854442308238055,0.38035893839689505,0.9504733337559548,0.45637794550533894,0.4665920003857015,0.4803486484976274,0.6461440446735364,0.45637794550533894,0.9707214235970152,0.6912156318594322,0.9282267186816184,0.6225326732938593,0.4330104113094214,0.6652080964808288,0.9751566664667721,0.9812543093285752,0.4047980999932008,0.9800981811838161,0.48511965158192605,0.046488524890225424,0.9389594886195856,0.9821734022685069,0.04153605118845568,0.42149257522865957,0.24697846446867294,0.7063695926243472,0.9064229384173279,0.3928801660824037,0.4641345506677179,0.4474775208000415,0.05254818885088801,0.9574038741951938,0.3675264969201557,0.9757403475864682,0.9641913159772872,0.98309773260209,0.975485936649031,0.9796579222901386,0.3410722911873759,0.3271195991863703,0.397287547751046,0.005986384146273804,0.9536746492086847,0.014176937050173581,0.2267068424983644,0.7569927240358291,0.767346808684259,0.4217281061901742,0.930692687582868,0.9811671230603167,0.6980852858924332,0.28669872022540327,0.7709514199280485,0.3537434829455028,0.8833099873479289,0.7068964134614036,0.2400103088463289,0.33844342989232823,0.18200203460610126,0.1907411371831694,0.702153234727507
rh_SFG_R_6_3_thickness,0.6548858845077109,0.9850747281808407,1.0,0.6121833698955441,0.9326091247224964,0.2789432905156035,0.4640865294947356,0.993427500690881,0.07215155528737281,0.12922683684724823,0.919333798146101,0.980486543485469,0.23242815490636498,0.9255136661389078,0.7513223935787876,0.7214517867469274,0.2434766826696293,0.9766033838186915,0.27382086589255233,0.4286719647843325,0.3163659322489086,0.3237652387544805,0.020815099651627762,0.10412547894588725,0.4274286442603913,0.014284685060494278,0.8877338346366643,0.5023130177891408,0.002936378739650903,0.3016045520444917,0.9377058993304257,0.9963107576204109,0.6165932441195765,0.04118312931517033,0.017094143717432956,0.30604635201436997,0.8884466571177583,0.36871778220734897,0.37786770525664837,0.390380216157925,0.7389447732451911,0.36871778220734897,0.9214645511400446,0.5958695390093924,0.9768592554797888,0.7146301854778834,0.34821881316756564,0.5704550772162702,0.9388464474169576,0.9460327897945549,0.3257731966306967,0.9962201091864693,0.39506220362524563,0.033237252807616004,0.982707487792557,0.9956930261248296,0.03041462265283553,0.5125965993633198,0.3078824210873748,0.6114292043933165,0.9628678470356656,0.3107969332152158,0.37636932170856274,0.3617884850128213,0.037677907189165936,0.9906152971563578,0.2936822785038686,0.9315508276283029,0.9924557135099872,0.9579772645580021,0.9928756878007388,0.9911732765512882,0.263010902104984,0.40119545389419076,0.48546561412259814,0.010528019687450844,0.9893048698609064,0.009529350149972506,0.16925596275602833,0.6652227199444039,0.6756174579231922,0.3398318783398852,0.9782647435215792,0.9959894418998787,0.6027486610659626,0.21662849509743298,0.681112814391907,0.28523070838234543,0.8882562159255482,0.6481099819779282,0.18117267963614567,0.2636150664165483,0.13458395151714714,0.13811438025943756,0.6871598081100656
rh_SFG_R_6_4_thickness,0.9659623606999878,0.7072938755560665,0.6121833698955441,1.0,0.8245884149254261,0.03629921798256605,0.08374597364419192,0.5435148920599203,0.0051470384702239965,0.011644169854753982,0.841140892121411,0.7227279932341943,0.027721783239536654,0.38546716016002147,0.21898148007369855,0.9830298305866597,0.02977427819528289,0.4856967190806537,0.8122580443173368,0.49434465511498404,0.20997436470945918,0.8760529982188583,0.0010313034404001375,0.5132051801997085,0.9364290565269068,0.00042041770512629527,0.8702724966306531,0.40961561940953434,0.0001058765748261399,0.851964252705723,0.8166393845898252,0.5851351800691473,0.999431003025095,0.3046789940564901,0.0008194670369948621,0.8524511931154126,0.8733947848019843,0.9095790270637643,0.9143255000421704,0.9198262350735003,0.22464113645102038,0.9095790270637643,0.839977643727349,0.9996287602299246,0.4880636465489424,0.21456173903158593,0.8965360383434888,0.9965477283120663,0.8106941587322187,0.8019694073157928,0.8762091701012891,0.5868695107358668,0.9260691791120907,0.2530040024173524,0.5022591984929248,0.5938178267192776,0.22924788204396981,0.10069154624928679,0.20202826015754297,0.9997623904747321,0.4721915354297985,0.7782990026282615,0.9174687488446281,0.908012335565952,0.27498187915175104,0.5317935681487906,0.8422894552729319,0.826159037558871,0.5453154995432619,0.7750016371173428,0.5745848396393682,0.5902410253538035,0.7604691426460041,0.07381241251948027,0.0926480935592689,0.00028845452714886606,0.525114599650315,0.11153343065479557,0.6695129050623636,0.989836149855621,0.9909957189348417,0.8901917916440243,0.4911812477919604,0.5903416861153314,0.9998265957138025,0.7340124034408312,0.984145251592222,0.8212838512909633,0.7243452192452742,0.8446990237867646,0.6912816889586113,0.6506605362372235,0.5979518696060442,0.6029182397956557,0.4736954389571681
rh_SFG_R_6_5_thickness,0.8333568579643424,0.9762198646201721,0.9326091247224964,0.8245884149254261,1.0,0.1435438022482067,0.2771203059748498,0.8877991696918235,0.028991635662723232,0.05713892434707461,0.9976290672844195,0.9812899473963523,0.11509821925320404,0.7465224088845517,0.5287555232900633,0.9080401281399193,0.1217778766091999,0.8426468776526004,0.4576951431826456,0.5077921838440858,0.23742949422258366,0.5273885303593829,0.007129329640379236,0.21130709267949022,0.6467987046276005,0.0044274279499176205,0.9899184668076435,0.4555488762103519,0.0008648258332264563,0.4977036324268481,0.9997939196717389,0.9155152335345778,0.8293805637299339,0.09766631973907305,0.005751659962177278,0.5008589989266911,0.9887715085736908,0.5824749522204734,0.5929218707426531,0.6068130616451314,0.5209172625875362,0.5824749522204734,0.9991761881761576,0.8105823883535748,0.841657445674175,0.49910084056239645,0.5581542119070565,0.7859132135728757,0.9976134132338039,0.9983866058311313,0.5280250395288029,0.916494974658649,0.6124906101713317,0.07920119887863335,0.8549889546455134,0.920278796449155,0.07203008656472351,0.3106436199467902,0.22877043232399163,0.8229404216952356,0.8200309169813125,0.4933303703494966,0.5912443703104117,0.573877380749479,0.0883880580394452,0.8794366901799986,0.4868916586605937,0.9999917551556168,0.8892077810892818,0.9926343701399951,0.9073951881796638,0.9154732864975034,0.44162657085233764,0.23078412270598767,0.2894606264350207,0.0031296923806679393,0.8742854224697878,0.0267462887075689,0.31904106485847883,0.8686808170348685,0.8768824368694159,0.5464481625003152,0.8446765206362284,0.9184140953629008,0.8169542277413898,0.3864338584504358,0.8800148469210648,0.47049187567859113,0.904743235508073,0.7943116897920788,0.3364451167821422,0.4142855075316155,0.26426856805684296,0.27070665742505207,0.6488405219504965
rh_SFG_R_6_6_thickness,0.05847008849845248,0.21507024263903327,0.2789432905156035,0.03629921798256605,0.1435438022482067,1.0,0.9182693857748151,0.33287648173464834,0.7826612441665546,0.9122276971899701,0.1368172014234257,0.20540135945331356,0.9935145074325951,0.48327436068229374,0.7014543062239709,0.05732471492220127,0.9961996868603681,0.3831534214424094,0.006615033337913952,0.04623804247597715,0.42968370718922555,0.00837756302669237,0.4866155726256396,0.0010491095437594501,0.01510072362965996,0.3943967297117186,0.11504272134252355,0.2904964701220598,0.1665131895093697,0.007492062614531577,0.1475229054306335,0.30059858504481546,0.03634858858456926,0.00020870785798535044,0.44352200672321634,0.008015612261352882,0.1215170430215211,0.010762145140141129,0.011357868197022052,0.01224088970518552,0.709292312989293,0.010762145140141129,0.13608486297091513,0.03387858224286714,0.3827553905923985,0.7304114631995854,0.00956897152786206,0.03130697705594118,0.14941465110537033,0.15511708675032926,0.008733326388700157,0.29936363503429136,0.01249754326125781,0.0001637642892072353,0.3689027113405213,0.2944964867451817,0.0001524640948186778,0.9064545582203347,0.43502728322114015,0.03671694162477451,0.4033262178915287,0.01016100212258424,0.01126669541861064,0.010428317981550183,0.00019933592786893525,0.34266452489047095,0.007187206828596796,0.1427681868283579,0.3316842388015663,0.17002927745894647,0.3098381934592698,0.2991171145372723,0.006518190356646599,0.9599822826358713,0.9246664855053921,0.35221598862468273,0.34831612889686975,2.2569538406932008e-05,0.0023224534794788095,0.04384010431523207,0.045861735349789184,0.009335271123927583,0.37963778934938053,0.2969155065360528,0.034658335493137016,0.003896479181557268,0.04693842223962232,0.007387233172233014,0.2076335473156506,0.06862990077209499,0.002646079834740846,0.009396293981899596,0.0015468507136257,0.001642360320804669,0.5180226970779411
rh_MFG_R_7_1_thickness,0.10012307720969635,0.3750787471371876,0.4640865294947356,0.08374597364419192,0.2771203059748498,0.9182693857748151,1.0,0.5281155871329372,0.5808193132636155,0.7294027357829214,0.2596581250453207,0.36148521015415863,0.8757119379842797,0.6877659622551182,0.8703135272593848,0.12378285787690627,0.8859356812390538,0.5834297248477509,0.01576610519261849,0.13982387613603703,0.49997356038384927,0.02420901906908482,0.32671706075682616,0.0032349981161566652,0.04875743107278826,0.2245992352806921,0.24134098484206667,0.45127156072565106,0.11649259555920767,0.020141362024253862,0.2846721244181338,0.48585643817305735,0.08665995496876068,0.0009039992993303645,0.2962240766257044,0.01986444190837109,0.22910551132801998,0.03414574100888576,0.036464883798537816,0.03981090305946152,0.8447289670404214,0.03414574100888576,0.26247640305862335,0.07877825266725962,0.5840193643529281,0.8472612940210964,0.029323130846348924,0.07012727823359871,0.2925571277308465,0.2986254713900464,0.023318881485167236,0.4841188091326981,0.039316422171883025,0.0004935848607353587,0.5691243081462177,0.4771792862686036,0.0003766626127574648,0.9763224401585089,0.49942321295679154,0.08269180851033234,0.6028573080546649,0.04206131960143194,0.03408076954911346,0.03067780124961017,0.0006050758326236747,0.5384333250193163,0.018900961955188027,0.27562789935109383,0.5245612886679595,0.3244508136062104,0.4949794129747962,0.47941189209636453,0.028620448468482503,0.9177640568486987,0.969545817391285,0.19814744948199386,0.545329884207552,8.477457199241884e-05,0.009249097064801688,0.10868183930427697,0.11022194505755882,0.026019835165623506,0.5807428415328002,0.4806466337532335,0.08130729961215637,0.01710396610192869,0.11702026205912389,0.016684867450812442,0.3863551267770084,0.18229666592139052,0.009701347836477744,0.04095832734071201,0.005808497560104959,0.007923004265219453,0.6399052609791331
rh_MFG_R_7_2_thickness,0.594314537273248,0.9614386697979882,0.993427500690881,0.5435148920599203,0.8877991696918235,0.33287648173464834,0.5281155871329372,1.0,0.09331652094129733,0.16197953790888378,0.8727208419487965,0.9541008398742354,0.28093633687694197,0.9618178545801063,0.8140286996847055,0.654268844015157,0.29336233660634004,0.9942800419871817,0.22692134984886025,0.398543227014259,0.34213075908489676,0.27078254854078637,0.028502567196170336,0.08105939716169215,0.36612742308680957,0.019515292289256168,0.8342404656748306,0.5104858005973223,0.00431558792771955,0.251124536735457,0.8940474295129032,0.995272355710495,0.5475202054233967,0.03057767520986309,0.02359627564900085,0.25543608961040354,0.837584214398452,0.31154412197443615,0.3199815629003838,0.33159594163751005,0.8004818611635719,0.31154412197443615,0.8745069447841658,0.5274019324331489,0.9939689390472124,0.7767330266515371,0.29281276906509934,0.5030845031706165,0.8955792138309053,0.9045685604973834,0.27281581448173453,0.9948723357239495,0.3357602998387096,0.024473114736488902,0.9971344392881698,0.9931128299797738,0.022356260228753526,0.5813538325070945,0.33397490107811684,0.5430868341282523,0.9828535699294274,0.2640455848394876,0.3184803450451924,0.3051694419028653,0.027898776349385927,0.9995033054855798,0.24413772200466588,0.8865166398284717,0.9988441582376418,0.9207586161252289,0.9939689390472124,0.9895128596273981,0.21941929403314747,0.4641771073231378,0.5535945411167194,0.014624357740215112,0.9994373516247026,0.006653510131578513,0.13547673100658847,0.5958449417556481,0.6063907876035433,0.285354662240228,0.9947849632343831,0.9940243839727498,0.534050589137906,0.17691483742343417,0.612007303780305,0.23736351488595428,0.858691803801785,0.5936541541450095,0.1455545767780444,0.22586760813707552,0.10620048554861353,0.10956109986460884,0.6973070631273872
rh_MFG_R_7_3_thickness,0.011096910791177172,0.05132022744158806,0.07215155528737281,0.0051470384702239965,0.028991635662723232,0.7826612441665546,0.5808193132636155,0.09331652094129733,1.0,0.963577193168204,0.02800078494276511,0.04821780584160551,0.8410050285752155,0.16522051614245098,0.3068404406962787,0.009167057976399997,0.8272161158040509,0.11627008684787878,0.0006977734525268689,0.006632616595370519,0.21218405584668198,0.0008313640716178295,0.8795909457201725,7.540794967892837e-05,0.0015238085480235048,0.774218892247084,0.020897046576546653,0.09845214736567504,0.4574579965180028,0.0007608158065548929,0.029908645071221075,0.08222546765329988,0.005035354432134634,1.0674395228704888e-05,0.8428906855842458,0.0008568147913824422,0.024660457031684076,0.0010461065547830491,0.0011043832419299303,0.0011937008416759405,0.3142817075923938,0.0010461065547830491,0.027337039884295082,0.004726809850077854,0.11374699121531878,0.3352965118768634,0.0009346559666670202,0.0044256034636094305,0.029917499356797196,0.03172372718376122,0.0009106897187954851,0.08183235087592755,0.0012457121849689784,9.168440671320251e-06,0.10802867830579854,0.08030391527585506,8.846115294008317e-06,0.5226353657427056,0.2186037857921165,0.005305659437379441,0.12285247294021336,0.0008917929266995443,0.0011335575439937956,0.0010556699353160702,1.1441971823376868e-05,0.09800141731241596,0.0007334841111578985,0.028815650054197988,0.09410672562937578,0.03553076581033429,0.0868715143257556,0.08356733958598075,0.0005104906119292701,0.6444873407125997,0.5495090032883236,0.7426753889603076,0.10007453613070319,9.261476022169072e-07,0.00016376824551359636,0.006070306088365746,0.0065342846335461145,0.0009600566391000196,0.11243373832634042,0.08105939716169235,0.004822276566280311,0.0002785330030971666,0.0065417637750870075,0.000812451959895457,0.049196879671742744,0.010748467691756214,0.00019823501737275764,0.0008238323013772538,0.00010717422165933263,0.00010027596379926426,0.30093740188301754
rh_MFG_R_7_4_thickness,0.022468305711466366,0.09471610849984491,0.12922683684724823,0.011644169854753982,0.05713892434707461,0.9122276971899701,0.7294027357829214,0.16197953790888378,0.963577193168204,1.0,0.05485737878431285,0.08955580942620345,0.9512052898741263,0.26530234939388053,0.44791421546329857,0.01978059580651631,0.9426172301710201,0.19550597466850617,0.0017816649645928722,0.014807276777493878,0.2965645784339974,0.002163182342961782,0.7391970176834822,0.00022385057922654313,0.003926803448674919,0.631618715276772,0.04294685606999438,0.15865467947811385,0.32217224589063587,0.001965387269224869,0.05887021277624925,0.1438818500160468,0.011492933507522323,3.607255085017512e-05,0.6941167517371835,0.0021727717903123685,0.048447692047356425,0.0027381244248733754,0.002889418394295481,0.0031184131333948607,0.45776464537382755,0.0027381244248733754,0.05397099736129207,0.010761910776322088,0.19320686263954345,0.4818005626661361,0.0024437404665269076,0.010030919100487992,0.05920551785275404,0.06225143561700625,0.002327400447006913,0.1432221444426619,0.0032282937751052267,3.0224570543034777e-05,0.18446346127152008,0.140644590205952,2.889421246719931e-05,0.6852241120634752,0.3035263894164585,0.011916952368248234,0.20687161851313124,0.0024064242923276936,0.002929310050924224,0.0027231570297759212,3.732230351772097e-05,0.16870678920845633,0.001892292329344565,0.05680476038756534,0.1624208414986757,0.06917379809338914,0.15045247069672532,0.14484242433674335,0.0014414509582472315,0.7986695261027648,0.7128224143049959,0.5897994562623732,0.17201275983092873,3.4506574678305216e-06,0.00048543624507717644,0.01385428330171736,0.01474910840797523,0.0024643188725367157,0.1912131612367693,0.14192117672869925,0.010989805800571396,0.0008177832284915871,0.014892204402879451,0.0020426179791368363,0.0909930814308081,0.023249565382849502,0.000574751854238253,0.0022172708872293012,0.0003207068638823101,0.00031315121362209447,0.3877676000415168
