,gradient_1,gradient_2,gradient_3,gradient_4,gradient_5,gradient_6,gradient_7,gradient_8,gradient_9,gradient_10
CG_5_1_thickness,-0.02245449108794087,-0.01799744312657583,0.020736198109457486,0.02795201176902925,0.14613105616174285,-0.09450217381108768,-0.03235081622300204,0.004331841496029779,0.0016430214558680494,-0.017126004619512764
CG_5_2_thickness,-0.06999057831537624,-0.07482080346134261,-0.0035520848134188766,0.017301814597519883,-0.017428473559258223,-0.018031407789702435,0.008084401758020245,0.08959789129193535,0.02306870061858712,-0.001680537518728937
CG_5_3_thickness,0.1866712807468638,-0.04320992954144168,-0.016605159109948444,0.004953663531761992,-0.02563593997547626,-0.007761517480932856,1.564761033908852e-05,0.0008604059074877056,0.0001802518104383063,-0.0016779862339031514
CG_5_4_thickness,0.20432584501018924,-0.04837298160906589,-0.018945620270904226,0.005622331140696024,-0.029160705197742737,-0.01056626748988059,-0.00028691640352840743,0.0007696661945933061,0.0009087043356422295,-0.0016115588528643557
CG_5_5_thickness,-0.029460295363320926,-0.025975446583815683,0.007118943866785968,-0.005162306394680817,0.09724973473624127,-0.07213946766722984,0.008664316149888694,0.055501169315907775,0.01443971709597073,-0.010463072152407783
FuG_3_1_thickness,0.05332627369882271,-0.0015006362627993845,0.03608701076350315,0.009723314633037253,0.09524786464171628,0.11628592001179201,0.00977413738557869,0.02665747045421693,-0.010822173544840377,-0.02597493624694289
FuG_3_2_thickness,0.006730122590910459,0.06385938317931758,0.10617308522394968,-0.0036741119745035476,0.012870102584279078,0.06249118706537773,0.00931556742805702,-0.0004160120804020524,0.01210866774786004,0.027137577095094588
FuG_3_3_thickness,-0.04871573090392598,-0.0409003570644414,-0.015031001209109432,-0.06905458989474642,0.015536014332009374,-0.0356962358128471,0.08370061923428813,0.0711402536755753,0.018215030707070957,0.03725377190957531
IFG_6_1_thickness,0.1776822643858046,-0.04178207825030934,-0.01967806393884344,0.004045067614927632,-0.03274317533833061,-0.0225244688226992,-0.0018788788556456432,-0.0028679350407713046,0.0011163054843594223,0.002649661236807942
IFG_6_2_thickness,0.14681584593914507,-0.03652799216800081,-0.02353260160944569,0.0037259609068440846,-0.026596197286822987,-0.02415170341244749,-0.002529568147330357,-0.00408039463338302,-0.0013158386916167152,0.006693383771896241
