,CG_5_1_thickness,CG_5_2_thickness,CG_5_3_thickness,CG_5_4_thickness,CG_5_5_thickness,FuG_3_1_thickness,FuG_3_2_thickness,FuG_3_3_thickness,IFG_6_1_thickness,IFG_6_2_thickness,IFG_6_3_thickness,IFG_6_4_thickness,IFG_6_5_thickness,IFG_6_6_thickness,INS_6_1_thickness,INS_6_2_thickness,INS_6_3_thickness,IPL_6_1_thickness,IPL_6_2_thickness,IPL_6_3_thickness,IPL_6_4_thickness,IPL_6_5_thickness,IPL_6_6_thickness,ITG_5_1_thickness,ITG_5_2_thickness,ITG_5_3_thickness,ITG_5_4_thickness,ITG_5_5_thickness,LOcC_4_1_thickness,LOcC_4_2_thickness,LOcC_4_3_thickness,LOcC_4_4_thickness,MFG_7_1_thickness,MFG_7_2_thickness,MFG_7_3_thickness,MFG_7_4_thickness,MFG_7_5_thickness,MFG_7_6_thickness,MFG_7_7_thickness,MTG_4_1_thickness,MTG_4_2_thickness,MTG_4_3_thickness,MTG_4_4_thickness,MVOcC_5_1_thickness,MVOcC_5_2_thickness,MVOcC_5_3_thickness,MVOcC_5_4_thickness,MVOcC_5_5_thickness,MeanThickness_thickness,OrG_6_1_thickness,OrG_6_2_thickness,OrG_6_3_thickness,OrG_6_4_thickness,OrG_6_5_thickness,OrG_6_6_thickness,PCL_2_1_thickness,PCL_2_2_thickness,PCun_4_1_thickness,PCun_4_2_thickness,PCun_4_3_thickness,PCun_4_4_thickness,PhG_6_1_thickness,PhG_6_2_thickness,PhG_6_3_thickness,PhG_6_4_thickness,PhG_6_5_thickness,PhG_6_6_thickness,PoG_4_1_thickness,PoG_4_2_thickness,PoG_4_3_thickness,PoG_4_4_thickness,PrG_6_1_thickness,PrG_6_2_thickness,PrG_6_3_thickness,PrG_6_4_thickness,PrG_6_5_thickness,PrG_6_6_thickness,SFG_6_1_thickness,SFG_6_2_thickness,SFG_6_3_thickness,SFG_6_4_thickness,SFG_6_5_thickness,SFG_6_6_thickness,SPL_4_1_thickness,SPL_4_2_thickness,SPL_4_3_thickness,SPL_4_4_thickness,STG_6_1_thickness,STG_6_2_thickness,STG_6_3_thickness,STG_6_4_thickness,STG_6_5_thickness,STG_6_6_thickness,pSTS_2_1_thickness,pSTS_2_2_thickness
CG_5_1_thickness,1.0,0.9286815439668494,0.71304479345523,0.7523595120831859,0.9572234207916279,0.9076457832719365,0.7624576109703857,0.84570786537817,0.6681505013119299,0.5975471523681741,0.9931472093198184,0.2582839221625886,0.513615245395066,0.7508328468371239,0.12900719539764202,0.7881924896604577,0.9994448164493603,0.9376639095911219,0.3029494140396993,0.786938471760152,0.9145053196500696,0.8804114926186927,0.46806249039151715,0.9404508900631023,0.7541901579854935,0.28143966048156027,0.8246096972469197,0.9994087919842689,0.8165008026707087,0.6199150859911824,0.7709148278660833,0.7345340727805658,0.061733437234789496,0.5816343103785495,0.004150272754506425,0.02566557420373493,0.8366429709569202,0.8279801954981938,0.061133224497980074,0.6838395668965402,0.2857047865084037,0.886823805871891,0.8329310427439143,0.49656222146180296,0.9873229026635117,0.6359641097124281,0.6631880662621779,0.8688160696502214,0.46901363453171463,0.5139369677211154,0.2930197974916478,0.8131078934668248,0.02623952915138764,0.6835748831696218,0.8935306498375972,0.7593361012630035,0.9830857856220598,0.6901583345686997,0.7743885827818968,0.7628117021952638,0.6836787433510509,0.7517067196760703,0.909722944424771,0.48928988609686663,0.7877038201471875,0.7867269352308177,0.636833452201836,0.15706130271973287,0.14405080851797186,0.0047352409975459225,0.5574499912945977,0.009635336472716268,0.7821927074039956,0.3065918029272921,0.0003606322688288891,0.9261594428587892,0.9201949116244723,0.9701858025668598,0.5882068640169157,0.6214638036726261,0.9167191452372814,0.9106426918508271,0.06801850440632551,0.8964509201713726,0.6121985269083523,0.775634787564003,0.868108673378322,0.2728097989465046,0.0016387818284685877,0.9069409439589446,0.5893330163501962,0.7661295264572723,0.9272681205300628,0.0634959886815016,0.17211104129635776
CG_5_2_thickness,0.9286815439668494,1.0,0.5175176897325239,0.5589336780371399,0.935664408929655,0.724813515943159,0.5601364800705158,0.9530332677152551,0.503872215659603,0.47704506896446097,0.8862396043116083,0.18842216567832396,0.3237716411299688,0.8801947205979894,0.25157366570860046,0.937832666700387,0.9395901001884206,0.9941774916510744,0.49477435197697045,0.6187597223408376,0.9582717742371945,0.6887262348457425,0.2802485934045099,0.8405457311781219,0.5682794410271714,0.14953039077005387,0.8409335825098398,0.9372586595434604,0.9439992631882818,0.7855491270781466,0.8956803882733024,0.881734345036119,0.02687483711186324,0.37939214987892694,0.0007438229826688577,0.01172197114200661,0.6361316919502171,0.6294937327953569,0.03093424463094915,0.7003373069878649,0.15288890560733592,0.915534137471136,0.6334958785708749,0.6967191535919057,0.9061596008739046,0.7529388157051806,0.5212933244444438,0.8798817390725331,0.37303573353936315,0.6293450963438183,0.39743956461506813,0.9350507040716898,0.01554492313133815,0.8756237134717035,0.9137610852280708,0.5677520549985041,0.8993780600278033,0.4915358243279179,0.5971218875980042,0.5800756615938873,0.8766545761603537,0.6417052976463866,0.9362443363428179,0.6835950344534503,0.6203065597778317,0.6056007175172033,0.7799102268624586,0.08499655693585768,0.07516236836563961,0.0025049524398520202,0.3588176630100023,0.005401406340123769,0.6026179678532385,0.44249731503107087,0.00012552213795547225,0.9823284564843813,0.7434421499047277,0.8545396562847638,0.3840717730842993,0.41350851765235996,0.8062352621344062,0.7289223581003388,0.03385300909940203,0.7786782053374035,0.40829252298089597,0.9097640856275335,0.8790358557789774,0.4578772564215151,0.0005310984114142945,0.9932345239913527,0.4025392058929439,0.8942910757389185,0.9916880257866842,0.020029581601665278,0.30505383462105595
CG_5_3_thickness,0.71304479345523,0.5175176897325239,1.0,0.9965553756545031,0.5787161870750738,0.9187681227883753,0.911117480324337,0.3850110278736615,0.9767103331536633,0.8991855067683849,0.7660005082219687,0.5770094449527778,0.9188984113205241,0.296586536818314,0.02176628840151687,0.43513741496615976,0.6967914868137747,0.5598132019292101,0.06838949209353787,0.957758339439926,0.6061522598356568,0.9355088451788143,0.8459339135027844,0.7784219966977117,0.991418947576808,0.7207830782746885,0.6399366241742315,0.7027699983037403,0.48811510772515476,0.3368050146950608,0.504268409435607,0.44598588662683036,0.31259893589746957,0.9404973590413633,0.05904933532514709,0.1634793476864293,0.9446843152872321,0.9761639798844162,0.29037624278291263,0.5694406996705702,0.7271028901253116,0.6329943705612282,0.9360826183411224,0.13632508692555115,0.7472451691855216,0.22573398434213615,0.6882309398674128,0.651560066470816,0.7929943468097653,0.3044068864494615,0.3197121081555722,0.3514914940963174,0.11225439508887428,0.2953502690256982,0.642030707062774,0.9945157317799054,0.7527815105225446,0.8623535861240679,0.976673369859473,0.9864866183177501,0.2858621449853403,0.7756855103080369,0.6318976258955663,0.19116008125493014,0.9560114927797008,0.9778761057428801,0.39786403265141995,0.533589819377118,0.5113153408388875,0.028746280757135777,0.932816809755554,0.04761374068101437,0.8501460083169292,0.1578855345190785,0.006631579092614663,0.576473061832492,0.9120556823837972,0.764671568321357,0.8783952169062914,0.9368945775932905,0.7884794971030074,0.9213491159367723,0.3165137467450301,0.7929533061305432,0.9606250544701349,0.48164223746789514,0.6516342814877321,0.05763442246195152,0.02448167121217525,0.46863997842832167,0.7652130182849846,0.3089209214969817,0.5553629373900391,0.31232402484433686,0.10064406242780588
CG_5_4_thickness,0.7523595120831859,0.5589336780371399,0.9965553756545031,1.0,0.6253968638783723,0.9365852127706246,0.9018066767301741,0.4278190738605786,0.9754042218995025,0.8968209519280066,0.8045373990640816,0.5367640643921133,0.8879949096053121,0.3340273906831691,0.027926942920702677,0.47076476079417073,0.7363631490942794,0.5975011040303776,0.08337069983584389,0.975694301250404,0.633336528295477,0.9481621458869482,0.8129268093446285,0.794679501399954,0.997945245765629,0.678724088850304,0.6433527781427943,0.7415486281223662,0.5200303481094611,0.37140559393519895,0.5295530425192331,0.4769438933174409,0.28141671453935935,0.9153098312690213,0.053547032525755114,0.1422913740942952,0.9487539272050306,0.9866635734277208,0.2575593828813061,0.5526898092401085,0.6848616593769553,0.6506905493216646,0.938458320041265,0.15956653377516838,0.7776927015476321,0.253581793271482,0.6693226548587559,0.6624820694233261,0.7741854415714842,0.33763965372959776,0.289464157990813,0.3928294254013436,0.09301178849871053,0.33257348040443185,0.6596034379938984,0.9997276183436894,0.781541845201815,0.8446220727829852,0.9894586779414196,0.9955088151005902,0.32298716635816604,0.8089142500526656,0.6542701326819645,0.2216941791491318,0.9743386696412293,0.9911423932350569,0.42908595806921007,0.4889812855311552,0.4679763334875177,0.022397489931212648,0.9054996496984062,0.037666401565275294,0.8409102552425354,0.14455865766652182,0.00538350573670286,0.6099687243476632,0.9363146742856837,0.8067442156019058,0.8531066589945202,0.9148461040787321,0.7992678049618436,0.9423486442626867,0.28233894767038165,0.799606033237904,0.9389825903674205,0.5108901016863633,0.6623944034152076,0.07068424344618396,0.02070228554518897,0.5121490243845142,0.7422918462714503,0.3474205811767767,0.5918636614410911,0.2939598285129026,0.08716652775451748
CG_5_5_thickness,0.9572234207916279,0.935664408929655,0.5787161870750738,0.6253968638783723,1.0,0.7920234907380479,0.6282214008477303,0.9363146742856839,0.5462010253876731,0.4881292108736282,0.9443155886215694,0.14875658582675994,0.38980364047431837,0.8764487612534146,0.21150257131820988,0.7923651640940831,0.9594746306603239,0.9136711420792555,0.427819073860579,0.6990516968244007,0.8447788215655709,0.7562246043708418,0.36681872260806636,0.8270676005851161,0.6346408730756912,0.2051922652092206,0.7116183513403431,0.954830150017973,0.7882243255746322,0.6596034379938988,0.7164707314908505,0.7145500830549709,0.038529638714251,0.45193131118141877,0.0035800428934945356,0.012911087288623734,0.7028633908439532,0.7049636258703554,0.032390682554519004,0.5826163441402161,0.2075916267464024,0.7920234907380481,0.6981599305330258,0.6345022663527078,0.906819092466401,0.7691136423239084,0.5726524859678095,0.761632880604539,0.3414540944932317,0.559951273208084,0.2306983342868983,0.9160875237637905,0.009097293746577407,0.770360972214539,0.7972620797387454,0.6352886843058756,0.8972605220353526,0.5684679945345967,0.6698030504550935,0.6486300197513073,0.778187835281841,0.7934202279956208,0.8241853934447096,0.6076328742084727,0.7012900918404299,0.6804742455804267,0.632705004322095,0.09615623526073022,0.08944075553052325,0.0012670674893457484,0.430064138395731,0.002771779877271345,0.6535477659349418,0.30038772339446784,0.0001374498614013621,0.8817201006161586,0.82135988273214,0.9511280187579085,0.4728373751066456,0.49122797188857537,0.7960090736933787,0.8029864567755371,0.03754882784118897,0.7720770070147775,0.4772732246075254,0.7393957970515644,0.7607236910309318,0.3910846769596863,0.0008293467163182312,0.9474866785796562,0.4979539427080578,0.8874565318004927,0.8992650214751305,0.05557193192701575,0.1679539238353367
FuG_3_1_thickness,0.9076457832719365,0.724813515943159,0.9187681227883753,0.9365852127706246,0.7920234907380479,1.0,0.9364181317805746,0.5967389198746219,0.8543363591234032,0.7490222131682611,0.9394061788306116,0.4215644047124601,0.7738498358400461,0.49726575394208156,0.04847624473590083,0.587542811022579,0.8958633877966233,0.7599513672399156,0.13958909348852708,0.9138357935293173,0.7843309629421908,0.9977028601570754,0.7171598877415797,0.9360826183411224,0.9273491752115672,0.5129996057621904,0.7771941643033191,0.9003711978720337,0.6408362057378063,0.43887639853893784,0.6310934560926132,0.5691613856498046,0.15842985387263783,0.832467199653576,0.015876548892543425,0.07505919209445999,0.9849362130291219,0.9797344128172967,0.15339566044961445,0.6737513831041473,0.5189347167445684,0.7947155273251696,0.9807653316402174,0.2695590258265359,0.9296175349640652,0.41277202757413795,0.7644385762248702,0.8042054921608066,0.6283868558410062,0.3747905396629026,0.3130349838393758,0.5583448270388522,0.06790222624409069,0.441818326971951,0.805606572291091,0.9375986721213707,0.9322825400077718,0.8742490523503942,0.9235783560539406,0.9267730717915618,0.43660927916536063,0.7705902300955203,0.8038646159988062,0.28542546990243034,0.9127918819744691,0.9350319518737273,0.49035706898909226,0.3288293257775965,0.30892092149698197,0.01565854466333629,0.8122731916800413,0.028561492599039333,0.9168722621947167,0.2227626969967814,0.001820609098165148,0.7662922807346242,0.9945157317799055,0.9205149194882307,0.8173432176163471,0.8603879324093026,0.9346479365988907,0.9980597466217782,0.16845397453991967,0.9302610158793871,0.8586727095027867,0.6156834070157771,0.8040024890411409,0.12191067519623588,0.007175053669307152,0.6804127888141267,0.7662326657125444,0.5113153408388872,0.7507270201048706,0.15226972192257945,0.12209303881536768
FuG_3_2_thickness,0.7624576109703857,0.5601364800705158,0.911117480324337,0.9018066767301741,0.6282214008477303,0.9364181317805746,1.0,0.44059734245317117,0.8130421517399116,0.6883599793552952,0.7985277061692405,0.5467838167278738,0.8988664679449028,0.3688195207606842,0.02534788042935898,0.4275279541641346,0.7489831646869405,0.6063587063351203,0.08350459236541208,0.8145941923290794,0.6677349878487608,0.9548301500179732,0.873690671076685,0.8833606679912681,0.8750580987855701,0.680959996599061,0.7650842013832121,0.7562246043708419,0.49396699944508893,0.2790611245602592,0.5051745559000356,0.42023472384383204,0.2699484061137661,0.9407275441377714,0.018544743903097675,0.1564628526655519,0.9798211397754415,0.9322122009664214,0.27813790761246304,0.7682156870123834,0.6869329095536114,0.7176754811232136,0.9854427067629021,0.18818850619756816,0.8168233599205283,0.3311161704858366,0.9040185104307361,0.7591517963369878,0.6294990658191564,0.21948543018782118,0.46003291833476534,0.4087606391911138,0.1643855068614088,0.28632523957828865,0.7305833971153659,0.8950042534088094,0.8262230863877046,0.9857948035895057,0.8449248174274684,0.8638081009956776,0.284014287597843,0.6299519497767923,0.7084256603136978,0.1568856131846022,0.8120342792766055,0.8581100143369671,0.33736961132309495,0.4909907361534424,0.4674899149142822,0.0525080984282842,0.9278008392740997,0.08554375522445873,0.9891504981644396,0.31682249586088096,0.0068690082789220055,0.625764829827995,0.9020769138872194,0.7680778958983723,0.9522150990525985,0.9643101387376614,0.9073568054749175,0.9190778454800761,0.29649189568763923,0.9228312291843513,0.9469814202588344,0.47511731461387685,0.759685446319124,0.07340483000987291,0.019827672677211174,0.5124684023656353,0.9175106069644071,0.37743028944660634,0.5996347803716962,0.1916465922861953,0.2063476364199552
FuG_3_3_thickness,0.84570786537817,0.9530332677152551,0.3850110278736615,0.4278190738605786,0.9363146742856839,0.5967389198746219,0.44059734245317117,1.0,0.3741762000172537,0.35191840060060936,0.8013036277054725,0.09362993665000038,0.22530385701480238,0.9783042844442174,0.352269209559538,0.884300714831187,0.8581100143369672,0.9183292661300604,0.6253968638783729,0.5105310645982432,0.8452997347013926,0.5574499912945977,0.20794114249019427,0.7091179958058467,0.4402048449586344,0.09882383447620327,0.7093811524635993,0.8518373851128829,0.8610255845996024,0.7712738622046723,0.7915288975020651,0.8064098742240553,0.013674828125404295,0.2732776726817232,0.0007377406852255824,0.004394201302140492,0.5039947112635159,0.49956406891683697,0.012782340171818788,0.5993654334579585,0.10045320372298902,0.7874595414025989,0.5021478842111398,0.828146888964181,0.7928681488984768,0.8849237521697833,0.45011911795913256,0.7476371728028992,0.24074909578791306,0.6280445829132213,0.33885436155583104,0.9978262825415134,0.004460136797223866,0.9127814605363618,0.7852457009687444,0.43770946230176244,0.782457975751313,0.39195048326853543,0.47746837620091565,0.4547543134589094,0.9236213084450986,0.6579170614802898,0.8134352988153783,0.769499475513995,0.5131596330817534,0.48492826273058154,0.7217082394057412,0.043118157530274266,0.03874704067734055,0.0005445414323616842,0.2559262436421071,0.0012956629631240067,0.48750751151445804,0.4291072782919879,2.8720350328979093e-05,0.8885457011124548,0.6253968638783727,0.7992456003106633,0.2956057519968427,0.3063411141682303,0.6737427561216556,0.6054491939410638,0.014708961567917362,0.6471918110482489,0.2938854482189852,0.8200722286164712,0.7467566110202575,0.5850866329074341,0.00017860793627854466,0.9808991675260323,0.337224502328322,0.984907788114604,0.9117199568204157,0.01870746276490065,0.29529287632832757
IFG_6_1_thickness,0.6681505013119299,0.503872215659603,0.9767103331536633,0.9754042218995025,0.5462010253876731,0.8543363591234032,0.8130421517399116,0.3741762000172537,1.0,0.9684480449429158,0.7186086551957203,0.6084841037939033,0.8743865494253817,0.28198939676505463,0.02729249131639421,0.4488331649403528,0.6535356847973157,0.5406674988482932,0.07713357803196387,0.9643978801292981,0.5756399563380723,0.8675545456296392,0.7830317236030016,0.7022150240756353,0.9819838769653224,0.7186525283851607,0.5759834937572047,0.6583665326587721,0.49194410987053716,0.3722009322772027,0.5065380786456418,0.4635765779760437,0.36585313305725203,0.8806101692111412,0.0990093069469596,0.20068860761516472,0.8677128300638293,0.9311407337765951,0.33195043141212993,0.47823779564131175,0.7246877760199467,0.588833035984358,0.8539254526391504,0.13479736797536213,0.6908858673349383,0.19446821012560894,0.5620439141700766,0.5946063467047359,0.8647691098811954,0.34746584550119886,0.26482044491404005,0.34209625588443043,0.1084258206602787,0.31788369032291586,0.5950748662474084,0.9758250957627363,0.6940864365930942,0.753054665518119,0.9760228253340131,0.9805457956668968,0.3061118229868322,0.7974793501404511,0.5916674469783574,0.22270772291044483,0.9632074486862465,0.9704681488901594,0.42909578368418216,0.5714644932346187,0.5510339932153185,0.026749484687172146,0.8771340112487398,0.04093499715172291,0.7398297311229249,0.10848942934165215,0.0111816938861006,0.5546571653482019,0.8603535934846269,0.7259922983886273,0.7879605701638916,0.8628735404090918,0.7039507127348683,0.8650575525666744,0.36084948968112174,0.7022093836961125,0.9051388846558677,0.4895897246393837,0.5944562434109492,0.06493279298330054,0.03920269640880542,0.458182502356259,0.6508774557657944,0.295764453982824,0.5378837984601171,0.3864539970258751,0.07019053663996258
IFG_6_2_thickness,0.5975471523681741,0.47704506896446097,0.8991855067683849,0.8968209519280066,0.4881292108736282,0.7490222131682611,0.6883599793552952,0.35191840060060936,0.9684480449429158,1.0,0.6376740823599534,0.6878661440637421,0.7933692583019109,0.2604218162497381,0.03191934284434797,0.4502558258912177,0.586425984651911,0.5096243066344152,0.08398097084036815,0.9047339586404378,0.5384615885734518,0.7588439249256327,0.6874579186325039,0.6144080471788014,0.9123924111490286,0.698523204292578,0.5191364086500114,0.5904480735170349,0.48550983612120946,0.3912509225485811,0.500297698697669,0.46861929779140715,0.4567298998065529,0.7822405173505415,0.17468339538303665,0.2854644751378068,0.7532097756198225,0.8331075189701971,0.42157124146144426,0.4082451602779254,0.7042986271443199,0.5431567728547295,0.7373335266156509,0.13235367325135394,0.6149480858577157,0.16196341437812264,0.43886479899391917,0.5398832810927904,0.9405403142591728,0.3717950540976815,0.2334416939735604,0.3227388288053497,0.14004203524135792,0.3285712200945185,0.5464972514222339,0.8986666280518578,0.6167611935727146,0.6234570588104889,0.9117474302564015,0.9130404778895735,0.3152893855058453,0.7486815251609333,0.5471247396059242,0.2424166065953773,0.903904303000129,0.9000671922084857,0.4443180695944914,0.6337890166732834,0.6146603742656392,0.0387773286619123,0.7835390777741265,0.050968022259159876,0.6156541665842588,0.07886138826445892,0.025745797184675092,0.5230634167984803,0.7613604625729758,0.6440242844030194,0.66770040081772,0.752176841821312,0.6100666582239945,0.7632388044613494,0.4503964058042863,0.6038162558119599,0.8085698790699595,0.4871646357795786,0.5396067267510392,0.07091453216854471,0.07728833527028449,0.43433080337400587,0.5203518618896863,0.2748822121449084,0.5093070807592939,0.4689553126675792,0.05431629726609577
